v2_declaration	decision	v3_declaration	rationale
github.com/floegence/floret/v2/config :: field ContextPolicy.ContextWindowTokens int64 tag="json:\"context_window_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPolicy.ContextWindowTokens int64 tag="json:\"context_window_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPolicy.MaxOutputTokens int64 tag="json:\"max_output_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPolicy.MaxOutputTokens int64 tag="json:\"max_output_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPolicy.ReservedOutputTokens int64 tag="json:\"reserved_output_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPolicy.ReservedOutputTokens int64 tag="json:\"reserved_output_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPolicy.ReservedSummaryTokens int64 tag="json:\"reserved_summary_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPolicy.ReservedSummaryTokens int64 tag="json:\"reserved_summary_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPolicy.RecentTailTokens int64 tag="json:\"recent_tail_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPolicy.RecentTailTokens int64 tag="json:\"recent_tail_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPolicy.RecentUserTokens int64 tag="json:\"recent_user_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPolicy.RecentUserTokens int64 tag="json:\"recent_user_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPolicy.CompactedContextTargetTokens int64 tag="json:\"compacted_context_target_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPolicy.CompactedContextTargetTokens int64 tag="json:\"compacted_context_target_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPolicy.EstimatorSource string tag="json:\"estimator_source,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPolicy.EstimatorSource string tag="json:\"estimator_source,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPolicy.EstimatorMethod github.com/floegence/floret/v2/config.EstimateMethod tag="json:\"estimator_method,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPolicy.EstimatorMethod github.com/floegence/floret/v3/config.EstimateMethod tag="json:\"estimator_method,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPolicy.MaxCompactionFailures int tag="json:\"max_compaction_failures,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPolicy.MaxCompactionFailures int tag="json:\"max_compaction_failures,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: type ContextPressure struct	keep	github.com/floegence/floret/v3/config :: type ContextPressure struct	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPressure.WindowInputTokens int64 tag="json:\"window_input_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPressure.WindowInputTokens int64 tag="json:\"window_input_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPressure.ProjectedInputTokens int64 tag="json:\"projected_input_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPressure.ProjectedInputTokens int64 tag="json:\"projected_input_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPressure.ContextWindowTokens int64 tag="json:\"context_window_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPressure.ContextWindowTokens int64 tag="json:\"context_window_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPressure.ThresholdTokens int64 tag="json:\"threshold_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPressure.ThresholdTokens int64 tag="json:\"threshold_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPressure.RequestSafeLimit int64 tag="json:\"request_safe_limit_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPressure.RequestSafeLimit int64 tag="json:\"request_safe_limit_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPressure.OutputHeadroomTokens int64 tag="json:\"output_headroom_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPressure.OutputHeadroomTokens int64 tag="json:\"output_headroom_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPressure.Signal github.com/floegence/floret/v2/config.PressureSignal tag="json:\"pressure_signal,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPressure.Signal github.com/floegence/floret/v3/config.PressureSignal tag="json:\"pressure_signal,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPressure.Source github.com/floegence/floret/v2/config.PressureSource tag="json:\"pressure_source,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPressure.Source github.com/floegence/floret/v3/config.PressureSource tag="json:\"pressure_source,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPressure.EstimateMethod github.com/floegence/floret/v2/config.EstimateMethod tag="json:\"estimate_method,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPressure.EstimateMethod github.com/floegence/floret/v3/config.EstimateMethod tag="json:\"estimate_method,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPressure.Confidence github.com/floegence/floret/v2/config.EstimateConfidence tag="json:\"confidence,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPressure.Confidence github.com/floegence/floret/v3/config.EstimateConfidence tag="json:\"confidence,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPressure.CompactionNeeded bool tag="json:\"compaction_needed,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPressure.CompactionNeeded bool tag="json:\"compaction_needed,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextPressure.HardLimitExceeded bool tag="json:\"hard_limit_exceeded,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextPressure.HardLimitExceeded bool tag="json:\"hard_limit_exceeded,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: type ContextUsage struct	keep	github.com/floegence/floret/v3/config :: type ContextUsage struct	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.PrefixTokens int64 tag="json:\"prefix_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.PrefixTokens int64 tag="json:\"prefix_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.MessageTokens int64 tag="json:\"message_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.MessageTokens int64 tag="json:\"message_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.InputTokens int64 tag="json:\"input_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.InputTokens int64 tag="json:\"input_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.ContextWindow int64 tag="json:\"context_window,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.ContextWindow int64 tag="json:\"context_window,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.ThresholdTokens int64 tag="json:\"threshold_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.ThresholdTokens int64 tag="json:\"threshold_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.RatioLimitTokens int64 tag="json:\"ratio_limit_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.RatioLimitTokens int64 tag="json:\"ratio_limit_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.RequestSafeLimit int64 tag="json:\"request_safe_limit_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.RequestSafeLimit int64 tag="json:\"request_safe_limit_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.MaxOutputTokens int64 tag="json:\"max_output_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.MaxOutputTokens int64 tag="json:\"max_output_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.ReservedOutput int64 tag="json:\"reserved_output,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.ReservedOutput int64 tag="json:\"reserved_output,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.ReservedSummary int64 tag="json:\"reserved_summary,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.ReservedSummary int64 tag="json:\"reserved_summary,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.OutputHeadroom int64 tag="json:\"output_headroom_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.OutputHeadroom int64 tag="json:\"output_headroom_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.AutoCompactRatio int64 tag="json:\"auto_compact_ratio_pct,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.AutoCompactRatio int64 tag="json:\"auto_compact_ratio_pct,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.RecentTailTokens int64 tag="json:\"recent_tail_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.RecentTailTokens int64 tag="json:\"recent_tail_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.RecentUserTokens int64 tag="json:\"recent_user_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.RecentUserTokens int64 tag="json:\"recent_user_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.Source string tag="json:\"source,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.Source string tag="json:\"source,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.Method github.com/floegence/floret/v2/config.EstimateMethod tag="json:\"method,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.Method github.com/floegence/floret/v3/config.EstimateMethod tag="json:\"method,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.Confidence github.com/floegence/floret/v2/config.EstimateConfidence tag="json:\"confidence,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.Confidence github.com/floegence/floret/v3/config.EstimateConfidence tag="json:\"confidence,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.CompactionNeeded bool tag="json:\"compaction_needed,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.CompactionNeeded bool tag="json:\"compaction_needed,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ContextUsage.HardLimitExceeded bool tag="json:\"hard_limit_exceeded,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ContextUsage.HardLimitExceeded bool tag="json:\"hard_limit_exceeded,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const DefaultAutoCompactRatioPercent int64 = 90	keep	github.com/floegence/floret/v3/config :: const DefaultAutoCompactRatioPercent int64 = 90	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const DefaultCheckpointOverheadTokens int64 = 2000	keep	github.com/floegence/floret/v3/config :: const DefaultCheckpointOverheadTokens int64 = 2000	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const DefaultCompactedContextTargetTokens int64 = 50000	keep	github.com/floegence/floret/v3/config :: const DefaultCompactedContextTargetTokens int64 = 50000	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const DefaultContextWindowTokens int64 = 256000	keep	github.com/floegence/floret/v3/config :: const DefaultContextWindowTokens int64 = 256000	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const DefaultEstimatorMethod github.com/floegence/floret/v2/config.EstimateMethod = "message_context_estimate"	keep	github.com/floegence/floret/v3/config :: const DefaultEstimatorMethod github.com/floegence/floret/v3/config.EstimateMethod = "message_context_estimate"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const DefaultEstimatorSource untyped string = "generic_conservative"	keep	github.com/floegence/floret/v3/config :: const DefaultEstimatorSource untyped string = "generic_conservative"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const DefaultMaxOutputTokens int64 = 0	keep	github.com/floegence/floret/v3/config :: const DefaultMaxOutputTokens int64 = 0	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const DefaultRecentTailTokens int64 = 12000	keep	github.com/floegence/floret/v3/config :: const DefaultRecentTailTokens int64 = 12000	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const DefaultRecentUserTokens int64 = 15000	keep	github.com/floegence/floret/v3/config :: const DefaultRecentUserTokens int64 = 15000	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const DefaultReservedOutputTokens int64 = 64000	keep	github.com/floegence/floret/v3/config :: const DefaultReservedOutputTokens int64 = 64000	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const DefaultReservedSummaryTokens int64 = 20000	keep	github.com/floegence/floret/v3/config :: const DefaultReservedSummaryTokens int64 = 20000	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const EstimateApproximate github.com/floegence/floret/v2/config.EstimateConfidence = "approximate"	keep	github.com/floegence/floret/v3/config :: const EstimateApproximate github.com/floegence/floret/v3/config.EstimateConfidence = "approximate"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: type EstimateConfidence string	keep	github.com/floegence/floret/v3/config :: type EstimateConfidence string	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const EstimateConservative github.com/floegence/floret/v2/config.EstimateConfidence = "conservative"	keep	github.com/floegence/floret/v3/config :: const EstimateConservative github.com/floegence/floret/v3/config.EstimateConfidence = "conservative"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const EstimateExact github.com/floegence/floret/v2/config.EstimateConfidence = "exact"	keep	github.com/floegence/floret/v3/config :: const EstimateExact github.com/floegence/floret/v3/config.EstimateConfidence = "exact"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: type EstimateMethod string	keep	github.com/floegence/floret/v3/config :: type EstimateMethod string	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const EstimateMethodGenericPayload github.com/floegence/floret/v2/config.EstimateMethod = "generic_payload_estimate"	keep	github.com/floegence/floret/v3/config :: const EstimateMethodGenericPayload github.com/floegence/floret/v3/config.EstimateMethod = "generic_payload_estimate"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const EstimateMethodMessageContext github.com/floegence/floret/v2/config.EstimateMethod = "message_context_estimate"	keep	github.com/floegence/floret/v3/config :: const EstimateMethodMessageContext github.com/floegence/floret/v3/config.EstimateMethod = "message_context_estimate"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const EstimateMethodOfficialPreflightCount github.com/floegence/floret/v2/config.EstimateMethod = "official_preflight_count"	keep	github.com/floegence/floret/v3/config :: const EstimateMethodOfficialPreflightCount github.com/floegence/floret/v3/config.EstimateMethod = "official_preflight_count"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const EstimateMethodProviderRenderedPayload github.com/floegence/floret/v2/config.EstimateMethod = "provider_rendered_payload_estimate"	keep	github.com/floegence/floret/v3/config :: const EstimateMethodProviderRenderedPayload github.com/floegence/floret/v3/config.EstimateMethod = "provider_rendered_payload_estimate"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const EstimateMethodUnknown github.com/floegence/floret/v2/config.EstimateMethod = "unknown_estimate_method"	keep	github.com/floegence/floret/v3/config :: const EstimateMethodUnknown github.com/floegence/floret/v3/config.EstimateMethod = "unknown_estimate_method"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const MinSupportedContextWindowTokens int64 = 256000	keep	github.com/floegence/floret/v3/config :: const MinSupportedContextWindowTokens int64 = 256000	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: func NormalizeReasoningSelection func(s github.com/floegence/floret/v2/config.ReasoningSelection) github.com/floegence/floret/v2/config.ReasoningSelection	keep	github.com/floegence/floret/v3/config :: func NormalizeReasoningSelection func(s github.com/floegence/floret/v3/config.ReasoningSelection) github.com/floegence/floret/v3/config.ReasoningSelection	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: type PressureSignal string	keep	github.com/floegence/floret/v3/config :: type PressureSignal string	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const PressureSignalManual github.com/floegence/floret/v2/config.PressureSignal = "manual"	keep	github.com/floegence/floret/v3/config :: const PressureSignalManual github.com/floegence/floret/v3/config.PressureSignal = "manual"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const PressureSignalNativeUsage github.com/floegence/floret/v2/config.PressureSignal = "native_usage"	keep	github.com/floegence/floret/v3/config :: const PressureSignalNativeUsage github.com/floegence/floret/v3/config.PressureSignal = "native_usage"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const PressureSignalOverflow github.com/floegence/floret/v2/config.PressureSignal = "provider_overflow"	keep	github.com/floegence/floret/v3/config :: const PressureSignalOverflow github.com/floegence/floret/v3/config.PressureSignal = "provider_overflow"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const PressureSignalProjected github.com/floegence/floret/v2/config.PressureSignal = "projected_request"	keep	github.com/floegence/floret/v3/config :: const PressureSignalProjected github.com/floegence/floret/v3/config.PressureSignal = "projected_request"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: type PressureSource string	keep	github.com/floegence/floret/v3/config :: type PressureSource string	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const PressureSourceFullRequestEstimate github.com/floegence/floret/v2/config.PressureSource = "full_request_estimate"	keep	github.com/floegence/floret/v3/config :: const PressureSourceFullRequestEstimate github.com/floegence/floret/v3/config.PressureSource = "full_request_estimate"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const PressureSourceManual github.com/floegence/floret/v2/config.PressureSource = "manual"	keep	github.com/floegence/floret/v3/config :: const PressureSourceManual github.com/floegence/floret/v3/config.PressureSource = "manual"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const PressureSourceMissingNativeUsage github.com/floegence/floret/v2/config.PressureSource = "missing_native_usage_request_estimate"	keep	github.com/floegence/floret/v3/config :: const PressureSourceMissingNativeUsage github.com/floegence/floret/v3/config.PressureSource = "missing_native_usage_request_estimate"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const PressureSourceProviderUsage github.com/floegence/floret/v2/config.PressureSource = "provider_usage"	keep	github.com/floegence/floret/v3/config :: const PressureSourceProviderUsage github.com/floegence/floret/v3/config.PressureSource = "provider_usage"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const PressureSourceUsageAnchoredDelta github.com/floegence/floret/v2/config.PressureSource = "usage_anchored_delta"	keep	github.com/floegence/floret/v3/config :: const PressureSourceUsageAnchoredDelta github.com/floegence/floret/v3/config.PressureSource = "usage_anchored_delta"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: type ReasoningBudget struct	keep	github.com/floegence/floret/v3/config :: type ReasoningBudget struct	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ReasoningBudget.MinTokens int64 tag="json:\"min_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ReasoningBudget.MinTokens int64 tag="json:\"min_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ReasoningBudget.MaxTokens int64 tag="json:\"max_tokens,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ReasoningBudget.MaxTokens int64 tag="json:\"max_tokens,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: type ReasoningCapability struct	keep	github.com/floegence/floret/v3/config :: type ReasoningCapability struct	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ReasoningCapability.Kind string tag="json:\"kind\""	keep	github.com/floegence/floret/v3/config :: field ReasoningCapability.Kind string tag="json:\"kind\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ReasoningCapability.SupportedLevels []github.com/floegence/floret/v2/config.ReasoningLevel tag="json:\"supported_levels,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ReasoningCapability.SupportedLevels []github.com/floegence/floret/v3/config.ReasoningLevel tag="json:\"supported_levels,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ReasoningCapability.DefaultLevel github.com/floegence/floret/v2/config.ReasoningLevel tag="json:\"default_level,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ReasoningCapability.DefaultLevel github.com/floegence/floret/v3/config.ReasoningLevel tag="json:\"default_level,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ReasoningCapability.DisableSupported bool tag="json:\"disable_supported,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ReasoningCapability.DisableSupported bool tag="json:\"disable_supported,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ReasoningCapability.DefaultEnabled *bool tag="json:\"default_enabled,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ReasoningCapability.DefaultEnabled *bool tag="json:\"default_enabled,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ReasoningCapability.Budget github.com/floegence/floret/v2/config.ReasoningBudget tag="json:\"budget,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ReasoningCapability.Budget github.com/floegence/floret/v3/config.ReasoningBudget tag="json:\"budget,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field ReasoningCapability.DynamicModelValue bool tag="json:\"dynamic_model_value,omitempty\""	keep	github.com/floegence/floret/v3/config :: field ReasoningCapability.DynamicModelValue bool tag="json:\"dynamic_model_value,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: method ReasoningCapability.Normalize func() github.com/floegence/floret/v2/config.ReasoningCapability	keep	github.com/floegence/floret/v3/config :: method ReasoningCapability.Normalize func() github.com/floegence/floret/v3/config.ReasoningCapability	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: method ReasoningCapability.IsZero func() bool	keep	github.com/floegence/floret/v3/config :: method ReasoningCapability.IsZero func() bool	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: method ReasoningCapability.SupportsLevel func(level github.com/floegence/floret/v2/config.ReasoningLevel) bool	keep	github.com/floegence/floret/v3/config :: method ReasoningCapability.SupportsLevel func(level github.com/floegence/floret/v3/config.ReasoningLevel) bool	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: method ReasoningCapability.Validate func() error	keep	github.com/floegence/floret/v3/config :: method ReasoningCapability.Validate func() error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const ReasoningKindAlwaysOn untyped string = "always_on"	keep	github.com/floegence/floret/v3/config :: const ReasoningKindAlwaysOn untyped string = "always_on"	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: const ReasoningKindBudget untyped string = "budget"	keep	github.com/floegence/floret/v3/config :: const ReasoningKindBudget untyped string = "budget"	retain the product-neutral contract under the v3 semantic import path
